Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,labels
-58.510000000000005,-56.5275,-57.3125,-62.60333333333333,-56.082499999999996,-56.1825,-56.09,4
-60.339999999999996,-60.42999999999999,-63.980000000000004,-61.60666666666666,-62.292500000000004,-64.03,-63.69,0
-56.14,-57.057500000000005,-59.0525,-57.54666666666666,-58.51,-57.525,-57.82,0
-60.105000000000004,-59.5225,-61.99250000000001,-63.026666666666664,-60.245000000000005,-60.872499999999995,-60.675,0
-58.235,-56.705,-59.8825,-61.78666666666666,-57.167500000000004,-57.839999999999996,-57.2,4
-56.9375,-57.247499999999995,-60.709999999999994,-58.43333333333334,-59.2325,-61.0825,-60.7,0
-67.6425,-56.730000000000004,-59.88999999999999,-60.77333333333333,-55.45,-57.972500000000004,-56.415,6
-56.897499999999994,-58.15,-59.300000000000004,-58.43666666666667,-59.39500000000001,-57.677499999999995,-58.215,0
-57.160000000000004,-62.765,-60.94,-55.38333333333333,-63.88999999999999,-60.535,-65.06,0
-58.962500000000006,-58.832499999999996,-60.3725,-61.800000000000004,-60.1,-60.0725,-60.495000000000005,0
-69.9275,-69.785,-67.76500000000001,-74.20333333333333,-70.2,-67.6425,-69.02000000000001,5
-71.7025,-70.22250000000001,-69.9225,-75.69666666666666,-70.13999999999999,-71.2825,-70.38999999999999,5
-54.155,-58.595,-61.7425,-54.20666666666667,-58.8475,-60.6025,-60.565,0
-71.69500000000001,-69.8675,-61.835,-74.17,-68.61,-64.58250000000001,-67.125,1
-57.7025,-57.19,-59.99499999999999,-58.61666666666667,-58.105000000000004,-59.825,-59.224999999999994,0
-56.6425,-60.9025,-62.802499999999995,-55.62,-60.775000000000006,-62.302499999999995,-63.405,0
-61.1525,-58.455,-57.9125,-65.19333333333333,-56.9725,-56.0675,-55.89,6
-58.02,-58.5325,-60.9175,-59.95333333333334,-59.72,-59.355000000000004,-59.455,0
-58.43000000000001,-62.557500000000005,-67.1175,-57.89333333333334,-63.215,-65.7525,-65.325,0
-52.105,-51.4625,-58.5225,-56.12,-53.505,-56.565,-55.019999999999996,4
-55.1,-58.075,-62.565,-54.74666666666667,-59.005,-62.2425,-60.09,0
-57.647499999999994,-54.0975,-58.1775,-64.12,-53.370000000000005,-55.58,-54.019999999999996,4
-75.1625,-76.6625,-68.7875,-73.85333333333334,-74.905,-69.97999999999999,-71.82499999999999,2
-56.62,-58.830000000000005,-61.28,-57.47666666666667,-59.97,-61.3425,-60.21,0
-61.15,-58.655,-63.95249999999999,-64.78666666666668,-58.567499999999995,-60.76499999999999,-58.915,0
-55.739999999999995,-58.1075,-63.4575,-52.81,-61.567499999999995,-63.4975,-61.71,0
-57.0075,-54.099999999999994,-58.61,-60.163333333333334,-53.29,-55.1275,-53.815,4
-53.7925,-52.55,-60.6425,-60.376666666666665,-53.652499999999996,-60.1575,-56.565,4
-57.0675,-68.105,-55.13,-56.39666666666667,-71.045,-56.89,-63.370000000000005,0
